日期,城市,行政區,場站名稱,總車柱數,可借車數,可還位數,經度,緯度
2026-05-29 23:30:34,新北市,板橋區,藝文一永翠路口,54,22,32,121.45268,25.02240
2026-05-29 23:30:34,新北市,新店區,中正路144巷口,15,7,8,121.54190,24.97148
2026-05-29 23:30:34,新北市,新莊區,新莊快樂公園,27,16,6,121.44355,25.03033
2026-05-29 23:30:34,新北市,鶯歌區,龍鳳夜市,30,4,26,121.33331,24.97329
2026-05-29 23:30:34,新北市,三重區,仁信段平面停車場(元信一街),30,2,27,121.49692,25.07791
2026-05-29 23:30:34,新北市,三重區,三重忠孝公園,28,17,11,121.47932,25.06325
2026-05-29 23:30:34,新北市,三重區,三重環河陸橋,16,9,7,121.49943,25.08149
2026-05-29 23:30:34,新北市,土城區,土城綜合球場,30,8,22,121.45420,24.97872
2026-05-29 23:30:34,新北市,石門區,石門婚紗廣場,17,0,0,121.53101,25.28747
2026-05-29 23:30:34,新北市,林口區,南勢國中,24,2,22,121.36232,25.07486
2026-05-29 23:30:34,新北市,新店區,十四張歷史建築園區(文記街),49,32,16,121.52792,24.98065
2026-05-29 23:30:34,新北市,樹林區,四維八德街口,15,5,10,121.42107,24.98018
2026-05-29 23:30:34,新北市,三重區,谷王公園,18,10,4,121.47718,25.05283
2026-05-29 23:30:34,新北市,三重區,仁義街37巷元富一街口,40,34,5,121.50030,25.07785
2026-05-29 23:30:34,新北市,中和區,捷運橋和站,62,4,57,121.49082,25.00381
2026-05-29 23:30:34,新北市,中和區,中和福美公園,40,11,29,121.50265,25.00606
2026-05-29 23:30:34,新北市,汐止區,福德一路392巷41弄口,20,5,15,121.62637,25.06314
2026-05-29 23:30:34,新北市,林口區,樂活公園(文化一路),26,2,24,121.36922,25.06722
2026-05-29 23:30:34,新北市,林口區,忠孝二文化二路口,23,4,19,121.36541,25.06913
2026-05-29 23:30:34,新北市,板橋區,亞東醫院,61,2,59,121.45318,24.99837
2026-05-29 23:30:34,新北市,板橋區,生態北公園,18,0,18,121.45643,24.99952
2026-05-29 23:30:34,新北市,板橋區,生態南公園,18,0,18,121.45504,24.99602
2026-05-29 23:30:34,新北市,淡水區,竹圍國小,28,2,25,121.45989,25.14638
2026-05-29 23:30:34,新北市,瑞芳區,瑞芳棒球場,25,15,10,121.81884,25.10666
2026-05-29 23:30:34,新北市,土城區,明德青和街口,31,11,20,121.45754,24.97738
2026-05-29 23:30:34,新北市,中和區,大勇立人街口,18,6,10,121.51750,24.99397
2026-05-29 23:30:34,新北市,中和區,莒光華安街口,17,10,6,121.46876,24.99467
2026-05-29 23:30:34,新北市,汐止區,福德一路392巷口,20,6,14,121.62754,25.06098
2026-05-29 23:30:34,新北市,汐止區,湖光市民活動中心,16,3,13,121.63362,25.06849
2026-05-29 23:30:34,新北市,板橋區,中山路二段443巷口,23,15,7,121.48102,25.02051
2026-05-29 23:30:34,新北市,板橋區,捷運新埔站(3號出口),20,0,20,121.46868,25.02247
2026-05-29 23:30:34,新北市,烏來區,烏來公車總站,15,0,0,121.55139,24.86652
2026-05-29 23:30:34,新北市,淡水區,大庄福德宮,15,6,9,121.42796,25.18830
2026-05-29 23:30:34,新北市,淡水區,淡水中正路停車場,24,6,18,121.43586,25.17308
2026-05-29 23:30:34,新北市,淡水區,輕軌崁頂站(西側),22,8,14,121.43419,25.20153
2026-05-29 23:30:34,新北市,土城區,土城紫藤廊道(學海街),25,6,14,121.44836,24.97923
2026-05-29 23:30:34,新北市,中和區,水之公園,18,8,10,121.48411,25.01300
2026-05-29 23:30:34,新北市,林口區,中山文化二路口,17,6,11,121.37942,25.08288
2026-05-29 23:30:34,新北市,中和區,莒光德光路口,15,6,4,121.47223,25.00429
2026-05-29 23:30:34,新北市,中和區,光之公園,21,9,12,121.48667,25.01184
2026-05-29 23:30:34,新北市,中和區,安邦段青年社會住宅,40,3,37,121.49542,24.99890
2026-05-29 23:30:34,新北市,五股區,五股戶政事務所,30,7,22,121.44561,25.09155
2026-05-29 23:30:34,新北市,板橋區,莊敬路25巷口,23,3,20,121.47338,25.02734
2026-05-29 23:30:34,新北市,板橋區,捷運江子翠站(5號出口),31,0,31,121.47291,25.03046
2026-05-29 23:30:34,新北市,板橋區,浮洲合宜住宅(合宜一合宜路口),22,13,9,121.44602,24.99536
2026-05-29 23:30:34,新北市,板橋區,重慶國小(和平路101巷),21,16,4,121.46216,24.99537
2026-05-29 23:30:34,新北市,萬里區,翡翠灣停車場,54,0,0,121.68493,25.19117
2026-05-29 23:30:34,新北市,新店區,溪洲原住民族生活文化園區Cinemnemay,21,14,5,121.52834,24.96826
2026-05-29 23:30:34,新北市,新莊區,塭仔圳十米園道(幸福路口),35,22,13,121.44247,25.04972
2026-05-29 23:30:34,新北市,新莊區,民安西路468巷口,25,5,20,121.43176,25.00796
2026-05-29 23:30:34,新北市,鶯歌區,龍五鳳七路口,30,17,13,121.33101,24.97043
2026-05-29 23:30:34,新北市,八里區,商港六商港三路口,15,9,6,121.39589,25.14968
2026-05-29 23:30:34,新北市,八里區,訊庄埔公園,15,11,4,121.39222,25.14244
2026-05-29 23:30:34,新北市,瑞芳區,深澳鐵道自行車八斗子站,15,0,0,121.80548,25.13417
2026-05-29 23:30:34,新北市,新店區,十四張歷史公園(北側),24,14,8,121.52689,24.97980
2026-05-29 23:30:34,新北市,新莊區,民安西路88巷口,18,5,9,121.42703,25.01912
2026-05-29 23:30:34,新北市,三峽區,三峽原住民族生活文化園區,31,15,15,121.36672,24.94565
2026-05-29 23:30:34,新北市,五股區,新五路二段299號,26,10,15,121.44361,25.08707
2026-05-29 23:30:34,新北市,五股區,獅子頭山水匯集廣場,25,6,19,121.45769,25.11171
2026-05-29 23:30:34,新北市,汐止區,江北二橋,32,5,27,121.65297,25.06997
2026-05-29 23:30:34,新北市,汐止區,中華街57巷口,17,12,5,121.66763,25.07148
2026-05-29 23:30:34,新北市,林口區,國家檔案館,17,3,14,121.37472,25.07353
2026-05-29 23:30:34,新北市,林口區,國家檔案館(文化一路),25,3,22,121.37527,25.07285
2026-05-29 23:30:34,新北市,林口區,文化三四維路口,29,16,13,121.37414,25.07979
2026-05-29 23:30:34,新北市,林口區,文化北忠孝一路口,18,9,9,121.36119,25.07376
2026-05-29 23:30:34,新北市,板橋區,致理科技大學,31,9,22,121.46271,25.02025
2026-05-29 23:30:34,新北市,淡水區,崁頂三後洲路一段路口,20,4,14,121.42972,25.20158
2026-05-29 23:30:34,新北市,淡水區,崁頂市民活動中心,20,10,9,121.42870,25.19772
2026-05-29 23:30:34,新北市,瑞芳區,水湳洞停車場,20,0,0,121.86443,25.12221
2026-05-29 23:30:34,新北市,新店區,福民市民活動中心,15,11,4,121.53305,24.97293
2026-05-29 23:30:34,新北市,八里區,狀元公園,20,8,12,121.41036,25.15450
2026-05-29 23:30:34,新北市,八里區,商港三頂罟二路口,25,20,4,121.40168,25.15333
2026-05-29 23:30:34,新北市,中和區,中坑公園,13,6,7,121.48294,24.98515
2026-05-29 23:30:34,新北市,五股區,五工二五工一路口(泰博科技),20,4,16,121.45362,25.07155
2026-05-29 23:30:34,新北市,淡水區,新民街120巷,15,6,8,121.43834,25.17808
2026-05-29 23:30:34,新北市,鶯歌區,鳳鳴機器人公園,17,8,7,121.33465,24.96618
2026-05-29 23:30:34,新北市,新莊區,新莊棒球場(和興街),37,7,29,121.44654,25.04069
2026-05-29 23:30:34,新北市,中和區,新生街112巷口(欽禾社區),40,24,8,121.48345,25.00273
2026-05-29 23:30:34,新北市,烏來區,烏來老街,28,0,0,121.55168,24.86493
2026-05-29 23:30:34,新北市,萬里區,獅子公園,20,0,0,121.70565,25.17489
2026-05-29 23:30:34,新北市,萬里區,翡翠灣,38,7,31,121.68353,25.18676
2026-05-29 23:30:34,新北市,新莊區,昌盛橋,20,6,12,121.45317,25.04973
2026-05-29 23:30:34,新北市,新莊區,中平中榮街口,17,4,13,121.44464,25.05307
2026-05-29 23:30:34,新北市,新莊區,豐年陸橋,18,10,6,121.44754,25.02967
2026-05-29 23:30:34,新北市,鶯歌區,新鳳公園,14,7,7,121.32474,24.97320
2026-05-29 23:30:33,新北市,三重區,河邊北街100巷口,20,11,8,121.50404,25.07043
2026-05-29 23:30:33,新北市,蘆洲區,蘆洲環河公園,16,4,12,121.46046,25.09516
2026-05-29 23:30:33,新北市,土城區,青隆青福街口,20,15,5,121.45665,24.97974
2026-05-29 23:30:33,新北市,板橋區,民治街81巷,16,12,4,121.48005,25.03223
2026-05-29 23:30:33,新北市,板橋區,松柏街50巷90弄口,12,4,7,121.47621,25.02833
2026-05-29 23:30:33,新北市,板橋區,中山路二段565巷,15,8,6,121.48402,25.02263
2026-05-29 23:30:33,新北市,淡水區,沙崙新民街口,21,19,1,121.42960,25.18832
2026-05-29 23:30:33,新北市,淡水區,程氏古厝,15,10,4,121.42902,25.18921
2026-05-29 23:30:33,新北市,新莊區,塭仔圳十米園道(新莊歐洲村),35,10,25,121.44247,25.05186
2026-05-29 23:30:33,新北市,樹林區,佳園大成路口,14,9,3,121.38362,24.94487
2026-05-29 23:30:33,新北市,鶯歌區,光明育智路口,14,8,6,121.34560,24.95587
2026-05-29 23:30:33,新北市,三芝區,三生步道,20,0,0,121.51005,25.26815
2026-05-29 23:30:33,新北市,三重區,頂崁街210巷28弄口,15,9,6,121.47586,25.06803
2026-05-29 23:30:33,新北市,石門區,石門風箏公園停車場,25,0,0,121.54766,25.290158
2026-05-29 23:30:33,新北市,石碇區,石碇,23,0,0,121.65891,24.99139
2026-05-29 23:30:33,新北市,板橋區,光復街/中山路二段412巷口,15,9,6,121.48399,25.01902
2026-05-29 23:30:33,新北市,貢寮區,澳底公園,20,6,14,121.92559,25.05349
2026-05-29 23:30:33,新北市,貢寮區,龍門運動公園,20,12,8,121.93129,25.02706
2026-05-29 23:30:33,新北市,貢寮區,貢寮區公所,20,5,15,121.90614,25.02088
2026-05-29 23:30:33,新北市,淡水區,新市一路一段331巷/義山路一段163巷口(東南側),15,13,1,121.43596,25.18731
2026-05-29 23:30:33,新北市,淡水區,聖約翰科技大學,30,5,24,121.45166,25.22750
2026-05-29 23:30:33,新北市,新店區,碧潭大橋(溪洲路6巷),12,8,4,121.53426,24.96061
2026-05-29 23:30:33,新北市,板橋區,民生路二段226巷8弄,21,3,18,121.46996,25.02151
2026-05-29 23:30:33,新北市,新莊區,中正思源路口(西南側),46,1,45,121.45950,25.03821
2026-05-29 23:30:33,新北市,樹林區,大成學士路口,17,8,9,121.38196,24.94768
2026-05-29 23:30:33,新北市,鶯歌區,國際一路112巷口,15,10,4,121.33579,24.97667
2026-05-29 23:30:33,新北市,八里區,八里停五平面停車場,30,12,17,121.41758,25.15779
2026-05-29 23:30:33,新北市,中和區,光寶科技中和數位大樓,40,2,38,121.48761,25.00214
2026-05-29 23:30:33,新北市,汐止區,水蓮山莊,22,6,15,121.63010,25.07797
2026-05-29 23:30:33,新北市,板橋區,民生縣民大道口(東南側),22,1,21,121.47166,25.01862
2026-05-29 23:30:33,新北市,淡水區,沙崙路216巷口,20,11,9,121.42508,25.18428
2026-05-29 23:30:33,新北市,新莊區,中正思源路口(東北側),45,0,45,121.46103,25.03938
2026-05-29 23:30:33,新北市,新莊區,台水新莊服務所,36,0,36,121.46019,25.04152
2026-05-29 23:30:33,新北市,蘆洲區,捷運蘆洲站(蘆洲捷運公園),19,1,18,121.46358,25.09165
2026-05-29 23:30:33,新北市,三重區,修德國小(重陽路三段),22,2,19,121.48895,25.06620
2026-05-29 23:30:33,新北市,三峽區,民族街78巷口,11,5,6,121.36986,24.93021
2026-05-29 23:30:33,新北市,土城區,土城國中(永安街115巷),39,5,34,121.42894,24.96316
2026-05-29 23:30:33,新北市,平溪區,嶺腳車站,30,0,0,121.74788,25.03005
2026-05-29 23:30:33,新北市,汐止區,汐萬路一段343巷,16,13,3,121.64971,25.07716
2026-05-29 23:30:33,新北市,汐止區,濱湖大第(康寧街),20,13,7,121.63758,25.07225
2026-05-29 23:30:33,新北市,板橋區,捷運亞東醫院站(3號出口),56,0,56,121.45258,24.99821
2026-05-29 23:30:33,新北市,鶯歌區,鶯歌陶瓷老街,33,16,17,121.35100,24.95219
2026-05-29 23:30:33,新北市,三芝區,三芝兒三公園(三民街),17,11,6,121.50499,25.25874
2026-05-29 23:30:33,新北市,土城區,莊園街(金城舞5社區),40,31,8,121.44792,24.981311
2026-05-29 23:30:33,新北市,土城區,捷運海山站(3號出口),40,0,40,121.44935,24.98677
2026-05-29 23:30:33,新北市,平溪區,十分遊客中心,42,0,0,121.78279,25.04711
2026-05-29 23:30:33,新北市,汐止區,汐止國小,25,1,23,121.65433,25.06612
2026-05-29 23:30:33,新北市,鶯歌區,鶯歌火車站(仁愛路62號),42,8,34,121.35407,24.95505
2026-05-29 23:30:33,新北市,三重區,三重重陽公園,15,1,14,121.48367,25.05753
2026-05-29 23:30:33,新北市,中和區,錦和運動公園,64,3,61,121.49073,24.99213
2026-05-29 23:30:33,新北市,淡水區,沙崙路151巷口,26,18,8,121.42386,25.18345
2026-05-29 23:30:33,新北市,樹林區,學府大成路口,14,8,5,121.38139,24.95090
2026-05-29 23:30:33,新北市,樹林區,彭厝里(福順街),15,8,7,121.41641,24.97757
2026-05-29 23:30:33,新北市,八里區,頂罟公園,15,10,3,121.40413,25.15330
2026-05-29 23:30:33,新北市,平溪區,菁桐老街,27,0,0,121.72448,25.02398
2026-05-29 23:30:33,新北市,平溪區,平溪市民活動中心,20,0,0,121.73720,25.02484
2026-05-29 23:30:33,新北市,汐止區,同興工建路口,20,7,12,121.63682,25.06249
2026-05-29 23:30:33,新北市,三重區,三和國中(自強路三段110巷),22,9,13,121.48694,25.07480
2026-05-29 23:30:33,新北市,平溪區,平溪國中,55,0,0,121.73422,25.02348
2026-05-29 23:30:33,新北市,淡水區,淡水老街廣場,28,7,21,121.44428,25.16891
2026-05-29 23:30:33,新北市,鶯歌區,臺鐵鳳鳴站,40,0,40,121.33674,24.97227
2026-05-29 23:30:33,新北市,鶯歌區,臺鐵鳳鳴站(鶯歌路),20,0,20,121.33651,24.97189
2026-05-29 23:30:33,新北市,八里區,訊塘廣場(義民中華路口),21,3,17,121.39564,25.14256
2026-05-29 23:30:33,新北市,泰山區,台麗街13巷,22,9,10,121.42464,25.03829
2026-05-29 23:30:33,新北市,三重區,光復路二段42巷口,18,4,14,121.47203,25.05452
2026-05-29 23:30:33,新北市,三重區,三和路四段73號旁,15,4,11,121.48977,25.07513
2026-05-29 23:30:33,新北市,三峽區,三鶯國民運動中心停車場,32,4,28,121.36941,24.93614
2026-05-29 23:30:33,新北市,土城區,學府中正路口(A+社區),40,6,34,121.44534,24.97551
2026-05-29 23:30:33,新北市,中和區,員山市場臨時平面停車場,27,11,15,121.48063,25.00676
2026-05-29 23:30:33,新北市,泰山區,莊田信華三街口(潤見築社區),40,32,8,121.43981,25.04303
2026-05-29 23:30:33,新北市,新店區,大豐里(建國路),13,5,8,121.53799,24.97991
2026-05-29 23:30:33,新北市,蘆洲區,蘆洲兒四公園,17,9,6,121.47625,25.08871
2026-05-29 23:30:33,新北市,蘆洲區,九芎街90巷口,15,8,7,121.46567,25.08024
2026-05-29 23:30:33,新北市,三重區,光復路一段15巷口,29,1,28,121.47213,25.04751
2026-05-29 23:30:33,新北市,三重區,三張地下停車場,22,12,10,121.48981,25.07054
2026-05-29 23:30:33,新北市,三峽區,添福里(添福15號之33),16,10,6,121.37254,24.90475
2026-05-29 23:30:33,新北市,林口區,師大林口校區誠樓前,29,15,14,121.40220,25.06929
2026-05-29 23:30:33,新北市,板橋區,文德新海路口,18,3,15,121.46112,25.02353
2026-05-29 23:30:33,新北市,板橋區,民族路225巷,13,6,6,121.46995,25.00779
2026-05-29 23:30:33,新北市,深坑區,深坑國中,13,11,2,121.61889,25.00167
2026-05-29 23:30:33,新北市,三重區,永德市民活動中心,20,16,4,121.48842,25.07285
2026-05-29 23:30:33,新北市,三重區,自強臨時平面停車場,21,10,10,121.49515,25.08229
2026-05-29 23:30:33,新北市,中和區,佳和公園(中山路二段64巷5弄),26,13,13,121.50186,25.00435
2026-05-29 23:30:33,新北市,中和區,中興街180巷口,18,3,4,121.49985,24.99098
2026-05-29 23:30:33,新北市,板橋區,光復光榮巷口,13,3,10,121.48473,25.02139
2026-05-29 23:30:33,新北市,泰山區,貴子路36巷3弄口,12,2,10,121.42591,25.04137
2026-05-29 23:30:33,新北市,新店區,中山路31巷(波爾多2社區),40,30,0,121.52478,24.98030
2026-05-29 23:30:33,新北市,新莊區,登龍平面停車場,32,1,31,121.45654,25.03662
2026-05-29 23:30:33,新北市,蘆洲區,光華長榮路口,16,5,9,121.46407,25.08188
2026-05-29 23:30:33,新北市,鶯歌區,公八停車場,15,0,15,121.34285,24.95515
2026-05-29 23:30:33,新北市,鶯歌區,龍三鳳鳴路口,18,13,3,121.33137,24.97286
2026-05-29 23:30:33,新北市,三峽區,臺北大學公共事務大樓(法商大道),44,1,43,121.37212,24.94363
2026-05-29 23:30:33,新北市,土城區,惜福公園,20,3,17,121.44815,24.98144
2026-05-29 23:30:33,新北市,三重區,光榮國中(秀江街),20,9,11,121.49994,25.07221
2026-05-29 23:30:33,新北市,三重區,仁信段平面停車場,12,3,9,121.49629,25.07914
2026-05-29 23:30:33,新北市,三峽區,臺北大學行政大樓(法商大道),33,9,24,121.3712,24.94494
2026-05-29 23:30:33,新北市,三峽區,臺北大學懷德居木師基地,21,10,11,121.36743,24.94334
2026-05-29 23:30:33,新北市,土城區,中華路一段70巷口,12,1,11,121.4454,24.98825
2026-05-29 23:30:33,新北市,中和區,板南立言街口,50,4,46,121.48791,25.00655
2026-05-29 23:30:33,新北市,新店區,吉安停車場,14,6,8,121.51635,24.96623
2026-05-29 23:30:33,新北市,新店區,安興祥和路口,15,7,8,121.51546,24.97666
2026-05-29 23:30:33,新北市,新店區,寶高路120巷口,14,4,9,121.55433,24.97622
2026-05-29 23:30:33,新北市,新莊區,八德立體停車場,14,1,13,121.42532,25.02271
2026-05-29 23:30:33,新北市,新莊區,中央昌仁路口,14,4,9,121.45355,25.05895
2026-05-29 23:30:33,新北市,樹林區,樹林藝文綜合行政大樓停車場,18,0,18,121.42853,24.99636
2026-05-29 23:30:33,新北市,樹林區,大雅佳園路口,14,6,8,121.38067,24.94447
2026-05-29 23:30:33,新北市,土城區,裕民路55巷,17,6,8,121.44948,24.98860
2026-05-29 23:30:33,新北市,永和區,中正路242巷口,13,8,5,121.51634,24.99816
2026-05-29 23:30:33,新北市,林口區,南勢六街81巷口,15,5,10,121.35475,25.07255
2026-05-29 23:30:33,新北市,板橋區,文化懷德街口,24,8,16,121.47574,25.03359
2026-05-29 23:30:33,新北市,板橋區,國慶路149巷口,14,14,0,121.46151,24.99605
2026-05-29 23:30:33,新北市,板橋區,後埔國小(實踐路/重慶路155巷口),24,0,24,121.46417,25.00412
2026-05-29 23:30:33,新北市,淡水區,輕軌濱海義山站(西南側),30,1,29,121.43734,25.18961
2026-05-29 23:30:33,新北市,蘆洲區,永平公園(東南側),21,0,20,121.45909,25.08985
2026-05-29 23:30:33,新北市,蘆洲區,蘆洲仁愛國小(水湳街),16,11,5,121.46947,25.09209
2026-05-29 23:30:33,新北市,鶯歌區,鶯歌火車站(文化路),25,3,22,121.35697,24.95536
2026-05-29 23:30:33,新北市,三重區,仁義街26巷,17,13,3,121.49811,25.07740
2026-05-29 23:30:33,新北市,土城區,永豐路157巷口,21,15,6,121.46709,24.98171
2026-05-29 23:30:33,新北市,林口區,師大林口校區行政大樓,18,8,10,121.40133,25.06726
2026-05-29 23:30:33,新北市,林口區,文化北路一段412巷口,27,6,20,121.36492,25.07659
2026-05-29 23:30:33,新北市,三重區,簡仔舍街(河家歡社區),40,22,18,121.48652,25.05138
2026-05-29 23:30:33,新北市,汐止區,水返腳公園,28,3,24,121.65901,25.06813
2026-05-29 23:30:33,新北市,汐止區,同興大同路口,30,0,30,121.63882,25.05981
2026-05-29 23:30:33,新北市,林口區,湖北市民活動中心,10,4,5,121.38670,25.09612
2026-05-29 23:30:33,新北市,板橋區,華德公園平面停車場,18,11,3,121.45339,24.99292
2026-05-29 23:30:33,新北市,板橋區,板橋公車站,60,1,59,121.46210,25.01269
2026-05-29 23:30:33,新北市,淡水區,民權路3巷12弄口,21,5,16,121.46151,25.14288
2026-05-29 23:30:33,新北市,淡水區,新市二路四段230巷,22,15,7,121.44564,25.19087
2026-05-29 23:30:33,新北市,新店區,中央陸橋(中央一街),16,2,14,121.52736,24.97371
2026-05-29 23:30:33,新北市,新店區,民權二十張路口,14,0,13,121.53966,24.98291
2026-05-29 23:30:33,新北市,新莊區,龍安福營路口,15,3,12,121.41931,25.02022
2026-05-29 23:30:33,新北市,蘆洲區,國立空中大學(中正路174巷口),15,7,8,121.46720,25.08782
2026-05-29 23:30:33,新北市,八里區,渡船頭平面停車場,33,14,18,121.43527,25.15687
2026-05-29 23:30:33,新北市,三芝區,三芝區公所,15,14,1,121.50082,25.25788
2026-05-29 23:30:33,新北市,三重區,光復路一段99巷口,18,3,15,121.47209,25.05109
2026-05-29 23:30:33,新北市,三重區,集美街58巷口(東北側),16,1,15,121.48833,25.05500
2026-05-29 23:30:33,新北市,永和區,福和國中(永利路),22,14,8,121.52033,25.00432
2026-05-29 23:30:33,新北市,汐止區,保長路51巷口,21,7,14,121.67382,25.07840
2026-05-29 23:30:33,新北市,蘆洲區,三民民族路口,40,18,22,121.47494,25.08367
2026-05-29 23:30:33,新北市,鶯歌區,北鶯公園,15,11,4,121.35942,24.95777
2026-05-29 23:30:33,新北市,三芝區,馬偕醫學大學(第二教研大樓),26,8,18,121.49559,25.25303
2026-05-29 23:30:33,新北市,三重區,仁愛仁和街口,15,0,15,121.49569,25.07354
2026-05-29 23:30:33,新北市,中和區,建二建三路口,20,7,13,121.48680,25.00369
2026-05-29 23:30:33,新北市,石門區,草里,20,0,0,121.60759,25.28070
2026-05-29 23:30:33,新北市,板橋區,府中汽車停車場,28,0,28,121.45882,25.00745
2026-05-29 23:30:33,新北市,板橋區,田單北街/懷德街201巷(一川社區),40,13,27,121.48186,25.03025
2026-05-29 23:30:33,新北市,淡水區,新市六後洲路口,15,12,2,121.43070,25.20285
2026-05-29 23:30:33,新北市,新莊區,幸福路753巷口,19,8,10,121.44834,25.04914
2026-05-29 23:30:33,新北市,新莊區,幸福路678巷口,13,10,3,121.45063,25.04920
